Iris manual unknown 0.1; 0.7752211999999999; 0.6288762666666666; 0.6913058000000001; 0.0; 0.6710172356095503; 64723; 0; 0; 132048
Autism automatic unknown 0.1; 0.7359816931818182; 0.6629191619318181; 0.6720102826704546; 0.70339484375; 0.812397849430756; 472523; 342884; 698474; 1824961
Autism manual unknown 0.1; 0.7324904261363637; 0.6950753835227274; 0.6070786079545455; 0.0; 0.7482524303391618; 417146; 0; 0; 580538
Name; EnsembleAUC; LeftAUC; RightAUC; CentralAUC; VertiBayesAUC; EnsembleTime; MinTime; MaxTime; VertiBayesTime
Asia automatic unknown 0.1; 0.6248044874; 0.6016417599; 0.5576852365; 0.6184561709999999; 0.671845914280147; 808891; 722558; 973875; 193807
Name; EnsembleAUC; LeftAUC; RightAUC; CenterAUC; CentralAUC; VertiBayesAUC; EnsembleTime; MinTime; MaxTime; VertiBayesTime
Diabetes automatic threeways unknown 0.1; 0.6659813828125; 0.5638409570312499; 0.5715498138020834; 0.5613046979166667; 0.6669586328125; 0.7507455682438283; 71280; 57357; 84548; 107432
Asia automatic threeways unknown 0.1; 0.6239004813; 0.5678637209999999; 0.5392483256; 0.5741340001999999; 0.630312697; 0.7106401380793446; 504230; 501318; 508498; 167768
Autism automatic threeways unknown 0.1; 0.7412301150568182; 0.630144622159091; 0.6741203508522726; 0.5505046590909091; 0.6855631249999999; 0.7430089404017748; 471688; 333595; 728743; 2284491
Autism manual threeways unknown 0.1; 0.729954715909091; 0.6819139772727273; 0.5998457954545455; 0.4277521875; 0.0; 0.7440363005600974; 404623; 0; 0; 2439750
Name; EnsembleAUC; LeftAUC; RightAUC; CentralAUC; VertiBayesAUC; EnsembleTime; MinTime; MaxTime; VertiBayesTime
Diabetes automatic unknown 0.3; 0.44955021744791673; 0.41270159375000004; 0.3994715299479166; 0.4325662760416667; 0.6700882937110909; 78764; 61902; 95472; 83736
Iris automatic unknown 0.3; 0.63387984; 0.5720158466666667; 0.5665752600000001; 0.5880393333333334; 0.6218747247591557; 82682; 79087; 86726; 127171
Iris manual unknown 0.3; 0.6407691333333334; 0.46717033333333335; 0.6232739333333334; 0.0; 0.5865717283358869; 64710; 0; 0; 99954
Autism automatic unknown 0.3; 0.529707453125; 0.4934433494318182; 0.4942852869318182; 0.4849192329545454; 0.6874710607857673; 521401; 447893; 644396; 1734811
Autism manual unknown 0.3; 0.48714727272727276; 0.4947793607954545; 0.3603626136363637; 0.0; 0.6243916408506854; 529957; 0; 0; 548776
Name; EnsembleAUC; LeftAUC; RightAUC; CentralAUC; VertiBayesAUC; EnsembleTime; MinTime; MaxTime; VertiBayesTime
Asia automatic unknown 0.3; 0.4185638004; 0.3969347176; 0.41201434349999994; 0.416724492; 0.5791713071436885; 1938362; 1830532; 1996643; 358774
Name; EnsembleAUC; LeftAUC; RightAUC; CenterAUC; CentralAUC; VertiBayesAUC; EnsembleTime; MinTime; MaxTime; VertiBayesTime
Diabetes automatic threeways unknown 0.3; 0.44772640625; 0.3896772265625; 0.40207905989583337; 0.3848093229166667; 0.4411996484375; 0.6535276658478468; 85780; 65968; 101765; 85134
Asia automatic threeways unknown 0.3; 0.41822084769999995; 0.3914171568; 0.3955385368; 0.39723830000000004; 0.42003756999999997; 0.5887305430504035; 1198010; 1185706; 1220221; 315835
Autism automatic threeways unknown 0.3; 0.5344698210227272; 0.47477769034090905; 0.48172919744318177; 0.47502462073863627; 0.4906725994318181; 0.7030599309323655; 577237; 454560; 692185; 542014
Autism manual threeways unknown 0.3; 0.4883197159090909; 0.49590076704545455; 0.39270437500000005; 0.35067553977272725; 0.0; 0.6325714894213756; 419865; 0; 0; 2171081
Name; EnsembleAUC; LeftAUC; RightAUC; CentralAUC; VertiBayesAUC; EnsembleTime; MinTime; MaxTime; VertiBayesTime
Alarm automatic unknown 0.05; 0.829806127; 0.7422269650000001; 0.6330122789999999; 0.742486645; 0.7732361380466706; 23019777; 23019777; 23019777; 5708064
Mushroom automatic unknown 0.05; 0.9250430342195962; 0.83466048990645; 0.9144694300837026; 0.9159486558345642; 0.9426857558940295; 12687352; 12687352; 12687352; 3755643


