Name; EnsembleAUC; LeftAUC; RightAUC; CentralAUC; VertiBayesAUC; EnsembleTime; MinTime; MaxTime; VertiBayesTime
Diabetes automatic; 0.8118537630208333; 0.7115586549479167; 0.7086798411458334; 0.76999625; 0.8180241850958401;39228;29638;46665;50471
Iris automatic; 0.9389198999999999; 0.9031532333333333; 0.8721765733333333; 0.8991998666666667; 0.7515013009554441;90562;73426;109450;246275
Iris manual; 0.9409998666666667; 0.8675333333333335; 0.9063333333333334; 0.0; 0.7432853914210483;80245;0;0;170534
Autism automatic; 0.9033400951704547; 0.8153866164772727; 0.8219931008522728; 0.8373349715909092; 0.9030241302284867;273097;197971;362825;2145327
Autism manual; 0.8935942755681818; 0.8352134232954547; 0.7272512357954546; 0.0; 0.8395401388625696;239235;0;0;379829
Mushroom automatic; 0.9967640173559822; 0.9191298810930576; 0.9409384639340226; 0.9864582865583457; 0.9547326194932486;2798548;2379575;3240940;1832095
Mushroom manual; 0.9918012690792712; 0.8811959022648941; 0.9883294177744953; 0.0; 0.986856822782951;3387283;0;0;1714295
Asia automatic; 0.9966523117000001; 0.9129902022999998; 0.8833523195999999; 0.995805097; 0.9889279681956914;49486;45334;61116;48905
Alarm automatic; 0.834415882; 0.7141110403; 0.6629944419999999; 0.7899631300000001; 0.7966818446597133;2696189;2566209;2981387;1446125
Name; EnsembleAUC; LeftAUC; RightAUC; CenterAUC; CentralAUC; VertiBayesAUC; EnsembleTime; MinTime; MaxTime; VertiBayesTime
Diabetes automatic threeways; 0.81588678125; 0.6711272252604167; 0.7123014765625; 0.6646029739583333; 0.7809813281250001; 0.7896702757959255; 44906; 36733; 53982; 53472
Asia automatic threeways; 0.9969852557; 0.7979274552000001; 0.8595012603000001; 0.8819911026; 0.995236053; 0.9890596409099928; 60183; 54982; 62951; 58495
Autism automatic threeways; 0.9297430028409093; 0.7872029474431816; 0.8170259786931819; 0.7442403565340909; 0.833338465909091; 0.9516773543936778; 329117; 173800; 444028; 2628267
Autism manual threeways; 0.9069193892045455; 0.8154209517045455; 0.7226948153409091; 0.7581599573863635; 0.0; 0.8334881587397929; 253565; 0; 0; 2367789
Mushroom automatic threeways; 0.98651003028065; 0.9078478574593796; 0.8284236874692269; 0.8267362113490891; 0.9871577708025603; 0.9869909606692369; 1876120; 1042213; 2679518; 2049625
Mushroom manual threeways; 0.9912994645494829; 0.8794323239783358; 0.9875927917282127; 0.6867990263417036; 0.0; 0.9872054798888948; 1909076; 0; 0; 2393933
Alarm automatic threeways; 0.8780642735; 0.6846415039; 0.7184315382; 0.6012879302; 0.791638435; 0.7901370997858578; 1924350; 1780632; 2091983; 1386963
Name; EnsembleAUC; LeftAUC; RightAUC; CentralAUC; VertiBayesAUC; EnsembleTime; MinTime; MaxTime; VertiBayesTime
Diabetes automatic unknown 0.05; 0.7597123593749999; 0.6614115533854167; 0.6802931289062499; 0.7257959765625; 0.7953789450132598; 62737; 47637; 91715; 85533
Iris automatic unknown 0.05; 0.8929812199999999; 0.8503260466666667; 0.8275401600000001; 0.8595582666666667; 0.7717774904127384; 104235; 97842; 113844; 188430
Iris manual unknown 0.05; 0.8959915333333334; 0.6658159333333333; 0.8771708000000001; 0.0; 0.7281060829864769; 67092; 0; 0; 138437
Autism automatic unknown 0.05; 0.796393950284091; 0.7239242258522728; 0.7277230014204547; 0.7474611363636363; 0.8622778422345979; 382463; 299659; 628554; 2120868
Autism manual unknown 0.05; 0.7905589630681817; 0.7321327982954545; 0.6677538920454545; 0.0; 0.7785794791308513; 354648; 0; 0; 601400
Name; EnsembleAUC; LeftAUC; RightAUC; CentralAUC; VertiBayesAUC; EnsembleTime; MinTime; MaxTime; VertiBayesTime
Asia automatic unknown 0.05; 0.7410192246000001; 0.7173640135; 0.6825344829; 0.750204104; 0.7707305535495393; 415040; 395359; 459834; 132309
Name; EnsembleAUC; LeftAUC; RightAUC; CenterAUC; CentralAUC; VertiBayesAUC; EnsembleTime; MinTime; MaxTime; VertiBayesTime
Diabetes automatic threeways unknown 0.05; 0.74774615625; 0.6762215130208333; 0.5759956796875001; 0.6051992213541666; 0.7219220182291667; 0.7484944157192118; 72713; 55264; 89576; 119581
Asia automatic threeways unknown 0.05; 0.7403926807000001; 0.6470696563999999; 0.6112012864999999; 0.6857981310000001; 0.745561844; 0.7639685338578439; 294357; 290260; 300922; 153284
Autism automatic threeways unknown 0.05; 0.8134508139204545; 0.6806277826704545; 0.7189496349431818; 0.6576364644886364; 0.7394188636363637; 0.7786496698029401; 450296; 299068; 615167; 3532537
Autism manual threeways unknown 0.05; 0.7930533238636364; 0.7265590198863636; 0.6537692329545455; 0.4592733096590909; 0.0; 0.7813778959534167; 380068; 0; 0; 2425426
Name; EnsembleAUC; LeftAUC; RightAUC; CentralAUC; VertiBayesAUC; EnsembleTime; MinTime; MaxTime; VertiBayesTime
Diabetes automatic unknown 0.1; 0.6958028684895833; 0.6108466861979167; 0.629260921875; 0.6732850911458333; 0.7791562560025797; 65624; 40058; 83456; 83071
Iris automatic unknown 0.1; 0.7855596466666667; 0.71610466; 0.7088907533333334; 0.7070019999999999; 0.7121449601136586; 97832; 92321; 102679; 174687
